"0267","5000","55","M","34919"
"0268","7000","","M","35151"
"0269","8382","55","M","34325"
"0270","8850","52","M","31807"
"0271","8200","58","M",""
"0272","5560","56","M","43013"
"0273","8310","61","M","40209"
"0275","5000","71","K",""
"0276","5270","66","M","51435"
"0277","5220","56","M","35101"
"0278","5210","59","M",""
"0279","5000","69","M","41616"
"0280","5000","57","M","44218"
"0281","5250","65","M","30404"
"0282","5260","54","M","44423"
"0283","5250","54","M","31647"
"0284","5250","55","M","44438"
"0285","5210","54","M",""
"0286","6700","51","M","32857"
"0287","8600","56","M","30357"
"0288","6800","45","M","45254"
"0289","6000","53","M","40519"
"0290","6040","76","M","35721"
"0291","7173","76","M",""
"0292","8270","37","M","35121"
"0293","6740","40","M","33904"
"0294","6740","43","M","35203"
"0295","8900","58","M","35125"
"0296","3400","52","M","31719"
"0297","6600","55","M","30316"
"0298","8900","54","M","34617"
"0299","6700","55","M",""
"0300","5270","47","M","35208"
"0301","4000","46","M","31924"
"0302","6000","58","M","34550"
"0303","9000","51","M","35033"
"0304","2620","52","K","42524"
"0305","7400","63","K","31034"
"0306","4000","57","K","31859"
"0307","7300","54","M","31124"
"0308","2620","48","M","42505"
"0309","9210","44","M","40046"
"0310","8270","45","M",""
"0311","7400","60","M","35814"
"0313","4500","48","M","34110"
"0314","4000","59","M","30807"
"0315","5250","45","M","41456"
"0316","5500","55","M","32906"
"0317","5672","52","M","44715"
"0318","7800","48","M",""
"0319","2600","52","M","33222"
"0320","2770","52","K","40017"
"0321","8320","55","M","44237"
"0322","","64","M","41333"
"0323","6040","61","M","40806"
"0324","5250","41","M","42341"
"0325","8270","63","M","31301"
"0326","5620","57","M","32810"
"0327","7130","47","M","32923"
"0328","5800","57","K","42033"
"0329","2700","56","K","40754"
"0330","4760","60","K",""
"0331","5580","50","K","43330"
"0332","8230","43","K","34839"
"0333","6823","54","M","32529"
"0334","5270","57","M","34119"
"0335","7323","51","M","32759"
"0336","7100","64","M","41438"
"0337","4200","30","M","44417"
"0338","9800","53","M","34108"
"0339","6710","63","M","32840"
"0340","5000","59","M","32742"
"0341","2900","49","M",""
"0342","2770","50","M","31803"
"0343","8850","57","M","32058"
"0344","5580","47","M","35645"
"0345","2670","61","M","42150"
"0346","8500","67","M","41859"
"0347","8270","41","M","43429"
"0348","7400","54","M","32936"
"0349","6705","45","M",""
"0350","5800","61","M","32515"
"0351","2300","59","M","35115"
"0352","4690","51","K","42618"
"0353","8000","60","K","32628"
"0354","5220","48","K","40835"
"0355","5230","48","K","40833"
"0356","5230","46","K","35425"
"0357","5240","42","K","34925"
"0358","3460","32","K","41710"
"0359","3390","51","K","41030"
"0360","7323","51","K","42456"
"0361","5230","63","M","30736"
"0362","9940","47","M","34524"
"0363","8600","65","M","33439"
"0364","5230","54","M","31132"
"0365","5210","57","M",""
"0366","6430","49","M",""
"0367","5700","55","M","32813"
"0368","7400","50","M","33324"
"0369","7400","51","M","34808"
"0370","7400","54","M","32421"
"0371","8000","51","M","41826"
"0372","2400","48","M","34446"
"0373","2650","46","M","34436"
"0374","2650","41","M","33925"
"0375","4700","70","M",""
"0376","4690","65","M","42619"
"0377","2765","61","M","34714"
"0378","2650","63","M","41111"
"0379","2670","48","M","42714"
"0380","2670","54","M","31649"
"0381","8732","46","M","31914"
"0382","4040","52","M",""
"0383","7190","52","M","34934"
"0384","5800","54","M","33955"
"0385","5540","44","M","42224"
"0386","4690","63","M","42017"
"0387","4690","60","M","42017"
"0388","5220","45","M","51014"
"0389","5250","53","M","41819"
"0390","5220","34","M",""
"0391","5230","45","M","42647"
"0392","5620","49","M","43438"
"0393","4330","69","M","40202"
"0394","7140","42","M","41511"
"0395","7100","70","M","34317"
"0396","5260","59","M","30802"
"0397","2100","63","M","43859"
"0398","8200","66","M",""
"0399","5220","76","M","43858"
"0400","5500","63","M","41842"
"0401","4180","60","M","33641"
"0402","6261","45","M","33508"
"0403","2230","45","M","41322"
"0404","2300","45","K","40852"
"0405","2800","47","K","35558"
"0406","4200","46","K","32048"
"0407","2740","49","K","43910"
"0408","4000","43","K","53226"
"0409","4500","58","K","40914"
"0410","7430","46","K","35638"
"0411","5220","47","K","42506"
"0412","7000","54","K","41324"
"0413","2860","57","K",""
"0414","3060","53","K","40807"
"0415","3060","49","K","41148"
"0416","3060","56","K","43135"
"0417","3060","49","K","40533"
"0418","3060","54","K","32924"
"0419","5220","49","M","34006"
"0420","3400","65","M","34234"
"0421","2860","55","M","32554"
"0422","3520","65","M","34341"
"0424","8382","60","M","35627"
"0425","7100","58","M","35552"
"0426","6400","69","M",""
"0427","4571","55","M","32144"
"0428","8270","70","M","30434"
"0429","8600","53","M","33748"
"0431","7323","46","M","32910"
"0432","5792","55","M","34747"
"0433","9600","66","M","40450"
"0434","2300","63","M","32928"
"0435","5560","65","M","34631"
"0436","8600","62","M","42635"
"0437","8700","58","M","34614"
"0438","8700","65","M","50743"
"0439","9370","","M","32636"
"0440","8270","49","M","43837"
"0441","7430","42","M","35118"
"0442","2680","54","M","34837"
"0443","5220","53","M","33709"
"0444","4300","53","M","40440"
"0445","4300","52","M","41552"
"0446","4300","55","M","34916"
"0447","8541","57","M","32116"
"0448","2300","69","M","25741"
"0449","2740","49","M",""
"0450","8950","46","M","32235"
"0451","8600","63","M","40749"
"0452","2300","68","M","43511"
"0453","6500","","M","32015"
"0454","6630","49","M",""
"0455","6800","59","M","35909"
"0456","8000","64","M","24753"
"0457","7430","61","M",""
"0458","3060","52","M","41149"
"0459","2500","62","M","34653"
